source_row_number,shipment_id,supplier_id,source_warehouse_id,distribution_point_id,item_id,item_name,item_category,quantity_shipped,shipment_status,planned_ship_date,planned_delivery_date,actual_delivery_date,transport_mode,delay_days,is_delayed,record_quality_status
88,SHP0088,SUP004,WH004,DP001,ITEM001,Vaccines,Medical,600,Delivered,2026-02-02,2026-02-20,2026-02-18,Sea,-2.0,False,accepted
89,SHP0089,SUP001,WH002,DP001,ITEM001,Vaccines,Medical,581,Delayed,2026-01-20,2026-01-27,2026-02-05,Road,9.0,True,accepted
90,SHP0090,SUP004,WH004,DP004,ITEM005,School-in-a-Box Kits,Education,314,In Transit,2026-03-18,2026-03-28,,Sea,0.0,False,accepted
91,SHP0091,SUP001,WH002,DP002,ITEM004,Emergency Shelter Kits,Shelter,280,In Transit,2026-02-09,2026-02-13,,Sea,0.0,False,accepted
92,SHP0092,SUP002,WH001,DP004,ITEM001,Vaccines,Medical,471,Delivered,2026-01-21,2026-01-31,2026-01-29,Sea,-2.0,False,accepted
93,SHP0093,SUP003,WH004,DP001,ITEM005,School-in-a-Box Kits,Education,713,Delivered,2026-03-02,2026-03-14,2026-03-14,Air,0.0,False,accepted
94,SHP0094,SUP002,WH002,DP003,ITEM003,Water Purification Tablets,WASH,856,Delivered,2026-04-11,2026-04-20,2026-04-22,Air,2.0,True,accepted
95,SHP0095,SUP005,WH005,DP003,ITEM001,Vaccines,Medical,459,In Transit,2026-01-08,2026-01-16,,Air,0.0,False,accepted
96,SHP0096,SUP003,WH005,DP005,ITEM004,Emergency Shelter Kits,Shelter,515,In Transit,2026-03-30,2026-04-11,,Road,0.0,False,accepted
97,SHP0097,SUP003,WH005,DP003,ITEM001,Vaccines,Medical,36,Delayed,2026-03-18,2026-03-22,2026-04-07,Air,16.0,True,accepted
98,SHP0098,SUP003,WH005,DP001,ITEM002,Therapeutic Food Packs,Nutrition,791,Cancelled,2026-03-28,2026-03-31,,Air,0.0,False,accepted
99,SHP0099,SUP005,WH004,DP004,ITEM004,Emergency Shelter Kits,Shelter,103,Delayed,2026-03-08,2026-03-25,2026-04-01,Road,7.0,True,accepted
100,SHP0100,SUP002,WH003,DP004,ITEM003,Water Purification Tablets,WASH,720,Delivered,2026-02-22,2026-03-07,2026-03-05,Road,-2.0,False,accepted
101,SHP0101,SUP001,WH004,DP001,ITEM003,Water Purification Tablets,WASH,332,Delayed,2026-03-26,2026-04-10,2026-04-23,Road,13.0,True,accepted
102,SHP0102,SUP001,WH005,DP004,ITEM003,Water Purification Tablets,WASH,433,Delayed,2026-01-15,2026-01-30,2026-02-17,Air,18.0,True,accepted
103,SHP0103,SUP004,WH004,DP001,ITEM002,Therapeutic Food Packs,Nutrition,218,In Transit,2026-03-08,2026-03-22,,Road,0.0,False,accepted
104,SHP0104,SUP004,WH001,DP001,ITEM005,School-in-a-Box Kits,Education,655,Delivered,2026-01-17,2026-01-29,2026-02-01,Sea,3.0,True,accepted
105,SHP0105,SUP005,WH004,DP001,ITEM002,Therapeutic Food Packs,Nutrition,240,Delivered,2026-04-01,2026-04-09,2026-04-07,Air,-2.0,False,accepted
106,SHP0106,SUP003,WH005,DP003,ITEM004,Emergency Shelter Kits,Shelter,435,Delivered,2026-01-16,2026-01-23,2026-01-26,Road,3.0,True,accepted
107,SHP0107,SUP004,WH002,DP005,ITEM004,Emergency Shelter Kits,Shelter,530,In Transit,2026-02-01,2026-02-18,,Sea,0.0,False,accepted
108,SHP0108,SUP004,WH003,DP005,ITEM002,Therapeutic Food Packs,Nutrition,283,Delivered,2026-04-21,2026-04-26,2026-04-30,Air,4.0,True,accepted
109,SHP0109,SUP004,WH002,DP004,ITEM003,Water Purification Tablets,WASH,561,Delayed,2026-04-03,2026-04-15,2026-04-29,Road,14.0,True,accepted
110,SHP0110,SUP004,WH004,DP003,ITEM003,Water Purification Tablets,WASH,900,In Transit,2026-02-12,2026-03-04,,Air,0.0,False,accepted
111,SHP0111,SUP004,WH001,DP003,ITEM002,Therapeutic Food Packs,Nutrition,772,Delivered,2026-03-15,2026-03-30,2026-04-03,Road,4.0,True,accepted
112,SHP0112,SUP002,WH005,DP005,ITEM004,Emergency Shelter Kits,Shelter,349,Delivered,2026-02-19,2026-02-26,2026-02-24,Air,-2.0,False,accepted
113,SHP0113,SUP002,WH004,DP002,ITEM004,Emergency Shelter Kits,Shelter,86,Delayed,2026-01-13,2026-02-01,2026-02-06,Road,5.0,True,accepted
114,SHP0114,SUP003,WH005,DP004,ITEM003,Water Purification Tablets,WASH,987,In Transit,2026-02-13,2026-02-28,,Road,0.0,False,accepted
115,SHP0115,SUP002,WH003,DP002,ITEM004,Emergency Shelter Kits,Shelter,774,Delivered,2026-04-22,2026-05-12,2026-05-10,Air,-2.0,False,accepted
116,SHP0116,SUP003,WH001,DP001,ITEM004,Emergency Shelter Kits,Shelter,342,Delivered,2026-01-13,2026-01-19,2026-01-22,Air,3.0,True,accepted
117,SHP0117,SUP005,WH004,DP005,ITEM003,Water Purification Tablets,WASH,708,Delivered,2026-02-15,2026-03-01,2026-02-28,Air,-1.0,False,accepted
118,SHP0118,SUP004,WH005,DP002,ITEM002,Therapeutic Food Packs,Nutrition,519,In Transit,2026-01-23,2026-01-28,,Sea,0.0,False,accepted
119,SHP0119,SUP004,WH003,DP001,ITEM002,Therapeutic Food Packs,Nutrition,930,In Transit,2026-01-30,2026-02-16,,Road,0.0,False,accepted
120,SHP0120,SUP003,WH005,DP003,ITEM003,Water Purification Tablets,WASH,664,Delivered,2026-03-28,2026-04-17,2026-04-18,Road,1.0,True,accepted
